City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
119,uchaly,54.2996,59.4521,-14.269999999999982,96,94,1.59,RU,1674493453
120,iqaluit,63.7506,-68.5145,-28.22999999999999,98,93,1.11,CA,1674493454
121,ushuaia,-54.8,-68.3,12.79000000000002,93,100,3.89,AR,1674493454
122,kommunar,59.6206,30.39,-4.259999999999991,97,100,1.8,RU,1674493454
123,clyde river,70.4692,-68.5914,-30.869999999999976,69,100,6.17,CA,1674493345
124,tezu,27.9167,96.1667,14.700000000000045,39,18,2.06,IN,1674493455
125,georgetown,5.4112,100.3354,25.960000000000036,94,20,0.0,MY,1674493313
126,strezhevoy,60.7333,77.5889,-13.629999999999995,93,100,4.32,RU,1674493457
127,daru,-9.0763,143.2092,26.07000000000005,87,100,2.86,PG,1674493458
128,shakawe,-18.3667,21.85,25.710000000000036,54,89,4.01,BW,1674493459
129,tessalit,20.1986,1.0114,27.54000000000002,9,0,4.03,ML,1674493459
130,lavrentiya,65.5833,-171.0,-27.769999999999982,96,24,5.44,RU,1674493460
131,inhambane,-23.865,35.3833,27.57000000000005,69,99,6.17,MZ,1674493461
132,esperance,-33.8667,121.9,18.310000000000002,65,0,6.4,AU,1674493461
133,yerbogachen,61.2767,108.0108,-42.49999999999997,100,97,1.48,RU,1674493462
134,samarai,-10.6167,150.6667,28.010000000000048,79,89,6.69,PG,1674493462
135,cavalcante,-13.7975,-47.4583,26.090000000000032,67,72,2.22,BR,1674493463
136,cape town,-33.9258,18.4232,24.650000000000034,44,12,5.36,ZA,1674493203
137,arona,28.0996,-16.681,17.29000000000002,52,20,11.32,ES,1674493237
138,chokurdakh,70.6333,147.9167,-31.649999999999977,93,100,2.73,RU,1674493466
139,prainha,-1.8,-53.48,30.74000000000001,56,91,2.74,BR,1674493466
140,tigil,57.8,158.6667,-33.65999999999997,99,7,1.0,RU,1674493467
141,dordrecht,51.81,4.6736,3.920000000000016,87,97,2.24,NL,1674493467
142,shonguy,68.7526,33.146,-0.9599999999999795,80,0,4.0,RU,1674493468
143,raudeberg,61.9875,5.1352,7.2000000000000455,48,100,14.72,NO,1674493468
144,taoudenni,22.6783,-3.9836,24.710000000000036,12,0,2.5,ML,1674493469
145,bairiki,1.3292,172.9752,26.0,94,20,4.12,KI,1674493469
146,tazovskiy,67.4667,78.7,-34.889999999999986,100,14,2.23,RU,1674493470
147,puerto escondido,15.85,-97.0667,28.460000000000036,78,0,4.12,MX,1674493470
148,kapaa,22.0752,-159.319,21.180000000000007,84,40,3.6,US,1674493471
149,oksbol,55.6268,8.2876,1.0600000000000023,88,90,1.14,DK,1674493472
150,lorengau,-2.0226,147.2712,26.55000000000001,86,100,4.29,PG,1674493472
151,alofi,-19.0595,-169.9187,21.939999999999998,94,40,3.66,NU,1674493473
152,arlit,18.7369,7.3853,28.140000000000043,9,0,2.77,NE,1674493474
153,high prairie,55.4334,-116.4858,1.1400000000000432,88,100,7.97,CA,1674493474
154,vestmannaeyjar,63.4427,-20.2734,1.660000000000025,62,100,4.33,IS,1674493475
155,vagur,61.4732,-6.8119,7.480000000000018,96,100,7.45,FO,1674493475
156,valdivia,-39.8142,-73.2459,24.05000000000001,49,1,3.55,CL,1674493476
157,touros,-5.1989,-35.4608,30.120000000000005,61,22,6.5,BR,1674493476
158,haverfordwest,51.8017,-4.9691,6.140000000000043,90,99,3.56,GB,1674493476
159,ulladulla,-35.35,150.4667,15.450000000000045,90,53,1.9,AU,1674493235
160,flinders,-34.5833,150.8552,17.32000000000005,86,57,0.89,AU,1674493477
161,hilo,19.7297,-155.09,24.04000000000002,69,40,4.12,US,1674493478
162,santa maria,-29.6842,-53.8069,36.64000000000004,20,0,2.71,BR,1674493479
163,abu kamal,34.4506,40.9171,13.260000000000048,39,1,1.59,SY,1674493480
164,shakhtinsk,49.71,72.5872,-15.189999999999998,97,100,1.57,KZ,1674493480
165,meulaboh,4.1363,96.1285,23.49000000000001,94,100,2.3,ID,1674493481
